Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10454418,The Most Important Thing: Uncommon Sense for the Thoughtful Investor (Columbia Business School Publishing),Howard  Marks,"Marks, Howard",,"=""0231153686""","=""9780231153683""",0,4.33,Columbia Business School Publishing,Hardcover,200,2011,2011,,2019/06/07,to-read,to-read (#75),to-read,,,,0,0
6342995,The Score Takes Care of Itself: My Philosophy of Leadership,Bill   Walsh,"Walsh, Bill","Steve Jamison, Craig Walsh","=""1591842662""","=""9781591842668""",0,4.21,Portfolio,Hardcover,288,2009,2009,,2019/06/05,to-read,to-read (#74),to-read,,,,0,0
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers―Straight Talk on the Challenges of Entrepreneurship,Ben Horowitz,"Horowitz, Ben",,"=""0062273205""","=""9780062273208""",0,4.21,Harper Business,Hardcover,304,2014,2014,,2019/06/05,to-read,to-read (#73),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,777,1999,1979,,2019/05/29,to-read,to-read (#72),to-read,,,,0,0
5597902,Complexity: A Guided Tour,Melanie  Mitchell,"Mitchell, Melanie",,"=""0195124413""","=""9780195124415""",0,4.11,"Oxford University Press, USA",Hardcover,368,2009,2009,,2019/05/29,to-read,to-read (#71),to-read,,,,0,0
55981,Consilience: The Unity of Knowledge,Edward O. Wilson,"Wilson, Edward O.",,"=""067976867X""","=""9780679768678""",0,3.98,Vintage,Paperback,368,1999,1998,,2019/05/29,to-read,to-read (#70),to-read,,,,0,0
2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,"Dennett, Daniel C.",,"=""068482471X""","=""9780684824710""",0,4.07,Simon & Schuster,Paperback,588,1996,1995,,2019/05/29,to-read,to-read (#69),to-read,,,,0,0
33331,More Than You Know: Finding Financial Wisdom in Unconventional Places,Michael J. Mauboussin,"Mauboussin, Michael J.",,"=""0231138709""","=""9780231138703""",0,4.08,Columbia University Press,Hardcover,268,2006,,,2019/05/29,to-read,to-read (#68),to-read,,,,0,0
72637,Intuition: Its Powers and Perils (Yale Nota Bene),David G. Myers,"Myers, David G.",,"=""0300103034""","=""9780300103038""",0,3.65,Yale University Press,Paperback,336,2004,2002,,2019/05/29,to-read,to-read (#67),to-read,,,,0,0
1571454,Psychology of Sex,H. Havelock Ellis,"Ellis, H. Havelock",,"=""1406796107""","=""9781406796100""",0,3.67,Home Farm Books,Paperback,,2014,1933,,2019/01/27,"to-read, myshelf","to-read (#35), myshelf (#11)",to-read,,,,0,0
608474,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"Doyle, Arthur Conan",Peter Ackroyd,"=""""","=""""",0,3.89,Penguin Classics,Paperback,129,2001,1890,,2019/01/27,"to-read, myshelf","to-read (#36), myshelf (#10)",to-read,,,,0,0
13707738,Boomerang: Travels in the New Third World,Michael   Lewis,"Lewis, Michael",,"=""0393343448""","=""9780393343441""",0,3.90,W. W. Norton & Company,Paperback,218,2012,2011,,2019/01/27,"to-read, myshelf","to-read (#34), myshelf (#8)",to-read,,,,0,0
669,Capitalism: The Unknown Ideal,Ayn Rand,"Rand, Ayn","Nathaniel Branden, Alan Greenspan, Robert Hessen","=""0451147952""","=""9780451147950""",0,3.89,Signet,Mass Market Paperback,340,1986,1946,,2019/05/26,"to-read, myshelf","to-read (#66), myshelf (#7)",to-read,,,,0,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg","=""0521618746""","=""9780521618748""",0,4.03,Cambridge University Press,Paperback,289,2005,1601,,2019/01/27,"to-read, myshelf","to-read (#32), myshelf (#5)",to-read,,,,0,0
1753685,Our Story Begins: New and Selected Stories,Tobias Wolff,"Wolff, Tobias",,"=""1400044596""","=""9781400044597""",0,4.14,Knopf,Hardcover,400,2008,2008,,2019/01/27,"to-read, myshelf","to-read (#41), myshelf (#4)",to-read,,,,0,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.87,Penguin,Paperback,368,1995,1955,,2019/01/27,"to-read, myshelf","to-read (#40), myshelf (#3)",to-read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2019/01/27,"to-read, myshelf","to-read (#37), myshelf (#2)",to-read,,,,0,0
42389,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,"Ambrose, Stephen E.",,"=""0743464117""","=""9780743464116""",0,4.44,Simon & Schuster; Media Tie-In edition,Paperback,432,2002,1992,,2019/05/22,to-read,to-read (#65),to-read,,,,0,0
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",0,4.22,Harper Business,Paperback,320,2006,1984,,2019/05/22,to-read,to-read (#64),to-read,,,,0,0
41571759,Conscious: A Brief Guide to the Fundamental Mystery of the Mind,Annaka Harris,"Harris, Annaka",,"=""0062906712""","=""9780062906717""",0,3.83,Harper,Hardcover,144,2019,2019,,2019/05/19,to-read,to-read (#63),to-read,,,,0,0
